eid,company_name,search_name,company_id,recall_type,recall_detail,id,patent_event_type,publish_date,company_main_products,patent_product_words,standard_web_url,patent_name,app_num_standard,keyword,tech_word,product_word,stand_effect_word,patent_brief,annex,rank
0398167a-0216-47a3-b13d-786ca831a6e6,顺丰科技有限公司,图形用户界面;分拣装置;分拣系统;传输装置;包装箱,848135902957088768,企业技术,"{""company_tech_words"": ""图形用户界面;分拣装置;分拣系统;传输装置;包装箱"",""matched_words"":""传输装置"",""matched_words_size"":""1""}",WZIP_a8aaa9519b7447579c2909adb595e0f4,失效,2024-06-21 12:00:00,物流;国内公路运输;仓储;航空运输代理;物流快递,电子设备;存储介质;图形用户界面;分拣系统;传输装置,http://www.sf-tech.com.cn,编码装置、解码装置以及传输装置,CN202110824258.3,\N,特定计算模型的计算机系统;传输,解码装置;传输装置;编码器,\N,编码装置、解码装置以及传输装置。编码装置包括确定单元、第一计算单元和生成单元。所述确定单元被配置为基于对应于预定量的比特串的整数值来确定包括在从所述预定量的比特串编码的符号串中的预定数目的各个符号值的数量。第一计算单元，被配置为根据由确定单元确定的各个符号值的数量和与对应于各个符号值的数量的符号的排列模式的数目相关的第一参数来计算各个符号值的符号串中的符号的位置。生成单元，被配置为通过向由第一计算单元计算的位置分配相应的符号值来生成符号串。,https://wzdata-api.qizhidao.com/bigtools/big/rk/b17abb23d07a05f36e96c642ae26de14/FMIPCN114157365ACN2022114157365A.PDF,1
0398167a-0216-47a3-b13d-786ca831a6e6,顺丰科技有限公司,图形用户界面;分拣装置;分拣系统;传输装置;包装箱,848135902957088768,企业技术,"{""company_tech_words"": ""图形用户界面;分拣装置;分拣系统;传输装置;包装箱"",""matched_words"":""包装箱"",""matched_words_size"":""1""}",WZIP_f57c57a03431f2172fe763d885e3edf8,失效,2024-06-24 12:00:00,物流;国内公路运输;仓储;航空运输代理;物流快递,电子设备;存储介质;图形用户界面;分拣系统;传输装置,http://www.sf-tech.com.cn,一种易揭胶带及具有易揭胶带的包装箱,CN202121419705.9,\N,黏合剂类型;包装件,易揭胶带;包装箱,\N,本实用新型涉及一种易揭胶带及具有易揭胶带的包装箱，它包括粘结层以及形成在所述粘结层任一表面上的离型层，所述离型层包括离型纸条以及形成在所述离型纸条侧边上且间隔设置的多个凸起，所述粘结层形成在所述离型纸条的表面，定义所述粘结层的侧边与所述离型纸条对应侧边的间距为d，则0≤d≤5mm；所述粘结层为绵纸双面胶或PE泡棉双面胶。使用时能够在保证粘结强度的基础上不易被剥离，避免了使用后被重复利用的可能。,https://wzdata-api.qizhidao.com/bigtools/big/rk/cb6f747d26c39062128cf8908ebf8589/FMUMCN214991266UCN2021214991266U.PDF,2
0398167a-0216-47a3-b13d-786ca831a6e6,顺丰科技有限公司,图形用户界面;分拣装置;分拣系统;传输装置;包装箱,848135902957088768,企业技术,"{""company_tech_words"": ""图形用户界面;分拣装置;分拣系统;传输装置;包装箱"",""matched_words"":""包装箱"",""matched_words_size"":""1""}",WZIP_bcf6f4ee327c63263d5db1d9daf91605,失效,2024-06-24 12:00:00,物流;国内公路运输;仓储;航空运输代理;物流快递,电子设备;存储介质;图形用户界面;分拣系统;传输装置,http://www.sf-tech.com.cn,一种带有环绕封压装置的包装箱,CN201920948850.2,包装箱;环绕封压装置;底座中心,包装件,包装箱,实用性提高,本实用新型涉及包装箱技术领域，且公开了一种带有环绕封压装置的包装箱，包括底座，所述底座的底部固定安装有支撑块，所述支撑块的数量为两个，两个所述支撑块之间关于底座中心对称，所述底座的顶部固定安装有第一连接箱，所述第一连接箱的顶部活动连接有第二连接箱，所述第一连接箱顶部的两侧均开设有插口。该带有环绕封压装置的包装箱，通过设置插口、插销和螺纹杆，当螺纹杆从第一连接箱和插销的内部旋转出，将会使得第二连接箱可以带动插销从插口的内部分离，进而实现了第一连接箱和第二连接箱之间的拆卸，方便了操作人员对其进行放置，同时也节约了所占用的空间，因此提高了该包装箱的实用性。,https://wzdata-api.qizhidao.com/bigtools/big/rk/7f23049ab23115ac276b36a9b881d989/FMUMCN210556193UCN2020210556193U.PDF,3
0398167a-0216-47a3-b13d-786ca831a6e6,顺丰科技有限公司,图形用户界面;分拣装置;分拣系统;传输装置;包装箱,848135902957088768,企业技术,"{""company_tech_words"": ""图形用户界面;分拣装置;分拣系统;传输装置;包装箱"",""matched_words"":""包装箱"",""matched_words_size"":""1""}",WZIP_bec905adad2c31cb7d144e983d164e28,失效,2024-06-27 12:00:00,物流;国内公路运输;仓储;航空运输代理;物流快递,电子设备;存储介质;图形用户界面;分拣系统;传输装置,http://www.sf-tech.com.cn,一种用于三角单元块运输的包装箱,CN201820995775.0,\N,包装件,包装箱,实用性提高;稳定性提高;简单,本实用新型提供一种用于三角单元块运输的包装箱，涉及单元块运输技术领域，包括顶框，顶框的形状为三角形框架，顶框的每条边上垂直于顶框连接有两根立柱，立柱的下端固定在底框上，立柱沿立柱中心线位置等距设置有螺孔，立柱围城的箱体框架中安装有三角单元块，三角单元块的三条边都设置有“凹”型泡沫条，“凹”型泡沫条的上下两侧与立柱的结合部位安装有活动块。本实用新型通过立柱的设置，使得三角单元块能够更加稳定的固定在箱体内，通过在三角单元块的外侧设置“凹”型泡沫条，使得三角单元块做到两两隔离，避免了两单元块带膜之间直接挤压，本实用新型结构简单，能够很好的解决角单元块带膜在运输中存在的问题，满足长途运输要求。,https://wzdata-api.qizhidao.com/bigtools/big/rk/71a49ad3a788b9991f75cfb273f8d4d7/FMUMCN208683384UCN2019208683384U.PDF,4
0398167a-0216-47a3-b13d-786ca831a6e6,顺丰科技有限公司,图形用户界面;分拣装置;分拣系统;传输装置;包装箱,848135902957088768,企业技术,"{""company_tech_words"": ""图形用户界面;分拣装置;分拣系统;传输装置;包装箱"",""matched_words"":""分拣系统"",""matched_words_size"":""1""}",WZIP_9e5ad80ad89d0d9a419ddd73eb45b8cb,失效,2024-06-28 12:00:00,物流;国内公路运输;仓储;航空运输代理;物流快递,电子设备;存储介质;图形用户界面;分拣系统;传输装置,http://www.sf-tech.com.cn,由电动滚筒提供动力流利条承重的采用多组S型排列的分拣系统,CN202010593939.9,分拣系统;滚筒;S型,分拣设备,分拣系统,\N,一种由电动滚筒提供动力流利条承重的采用多组S型排列的分拣系统，其特征在于：本发明的分拣系统是由多个分拣单元组成，每个分拣单元均为长方形；每个分拣单元又是由多个电动滚轮(1)、两个滚筒座(2)、多组承重流利条(3)、导向流利条(4)、侧面弧形导向流利条(5)、连接过渡模块(6)、连接过渡区(7)(G区)、进件口(8)(J区)、传送口(9)(C区)、分拣口(10)(F区)、进件扫描装置(11)和45度的转向传送带(12)组成；每个分拣单元均与快递件传送方向成45度的斜度安装。,https://wzdata-api.qizhidao.com/bigtools/big/rk/4cc1173d069cfc464e3d8480e2225c3b/FMIPCN112024415ACN2020112024415A.PDF,5
0398167a-0216-47a3-b13d-786ca831a6e6,顺丰科技有限公司,图形用户界面;分拣装置;分拣系统;传输装置;包装箱,848135902957088768,企业技术,"{""company_tech_words"": ""图形用户界面;分拣装置;分拣系统;传输装置;包装箱"",""matched_words"":""包装箱"",""matched_words_size"":""1""}",WZIP_e2d6d7590b1fd9130de86592e13990c1,失效,2024-06-28 12:00:00,物流;国内公路运输;仓储;航空运输代理;物流快递,电子设备;存储介质;图形用户界面;分拣系统;传输装置,http://www.sf-tech.com.cn,一种包装箱,CN201821016068.9,包装箱;太阳能电池片;深度方向,包装件,包装箱,实用性提高,本实用新型公开一种包装箱，其包括箱体以及设置在箱体内的底壁上的底部支撑件，底部支撑件上设置有成排布置的底部定位槽，同一排底部定位槽中，相邻的两个底部定位槽的深度之差大于或等于太阳能电池片的分体式接线盒在底部定位槽的深度方向的尺寸。上述方案能解决目前的太阳能电池片在包装的过程中存在包装箱的空间利用率较低的问题。,https://wzdata-api.qizhidao.com/bigtools/big/rk/561079307a21e543fe40a09748dc61de/FMUMCN208631131UCN2019208631131U.PDF,6
0398167a-0216-47a3-b13d-786ca831a6e6,顺丰科技有限公司,图形用户界面;分拣装置;分拣系统;传输装置;包装箱,848135902957088768,企业技术,"{""company_tech_words"": ""图形用户界面;分拣装置;分拣系统;传输装置;包装箱"",""matched_words"":""分拣系统"",""matched_words_size"":""1""}",WZIP_86c9fbd08ae2e9018efaa2faa992806e,失效,2024-07-09 12:00:00,物流;国内公路运输;仓储;航空运输代理;物流快递,电子设备;存储介质;图形用户界面;分拣系统;传输装置,http://www.sf-tech.com.cn,适用于肉鸡加工的分拣系统,CN201810696440.3,\N,分拣设备,分拣系统,复杂度降低;强度增加,本发明涉及适用于肉鸡加工的分拣系统，包括称重装置、输送装置和控制装置；所述称重装置设置在输送装置的一端，称重装置包括称重盘和设置在称重盘下的重量传感器；输送装置包括输送带、安装在输送带上的托盘、与输送带匹配连接的传输电机、与托盘匹配连接的翻转电机；所述称重装置和输送装置均与控制装置匹配连接；在所述输送带的侧方设置有与托盘对应的盛物箱。本分拣系统能够适应大规模化生产，能够根据肉鸡实际重量的不同进行不同形式的分拣，提高自动化程度，减少人工劳动强度，分拣精细。,https://wzdata-api.qizhidao.com/bigtools/big/rk/2ade9c9972f2abaf05b175d3c760d6c2/FMIPCN108745937ACN2018108745937A.PDF,7
0398167a-0216-47a3-b13d-786ca831a6e6,顺丰科技有限公司,图形用户界面;分拣装置;分拣系统;传输装置;包装箱,848135902957088768,企业技术,"{""company_tech_words"": ""图形用户界面;分拣装置;分拣系统;传输装置;包装箱"",""matched_words"":""图形用户界面"",""matched_words_size"":""1""}",WZIP_d8d7f259678bf70ef01b3fb81d780767,失效,2024-07-09 12:00:00,物流;国内公路运输;仓储;航空运输代理;物流快递,电子设备;存储介质;图形用户界面;分拣系统;传输装置,http://www.sf-tech.com.cn,一种图像处理方法和设备,CN201910782551.0,\N,商业或金融的数据处理;电数字数据处理;数字信息的传输,图形用户界面;图像处理装置;图像处理方法,\N,"本发明提供一种图像处理方法和设备，用于终端技术领域，从而产生一种全新的社交方法。其中，一种图像处理方法，包括：发布第一内容，所述第一内容包括第一图像；获取社交网络中的N条评论内容，所述N条评论内容用于评论所述第一内容,其中N为大于等于1的整数；从所述N条评论内容中提取第一特征信息，所述第一特征信息用于表征所述N条评论内容对所述第一内容的情绪信息；基于所述第一特征信息对所述第一图像进行处理，得到第二图像；显示所述第二图像。本发明还提供一种图像处理的设备，实现上述方法。",https://wzdata-api.qizhidao.com/bigtools/big/rk/317d7b9b03eb505bff4b5676ed478c59/FMIPCN110489581ACN2019110489581A.PDF,8
0398167a-0216-47a3-b13d-786ca831a6e6,顺丰科技有限公司,图形用户界面;分拣装置;分拣系统;传输装置;包装箱,848135902957088768,企业技术,"{""company_tech_words"": ""图形用户界面;分拣装置;分拣系统;传输装置;包装箱"",""matched_words"":""传输装置"",""matched_words_size"":""1""}",WZIP_f41282ac049ae1b7685f382aed357aaf,授权,2024-06-18 12:00:00,物流;国内公路运输;仓储;航空运输代理;物流快递,电子设备;存储介质;图形用户界面;分拣系统;传输装置,http://www.sf-tech.com.cn,图像传输方法及装置,CN202080006694.3,\N,图像通信,图像传输方法;图像传输装置;传输装置,\N,本申请实施例提供一种图像传输方法及装置，该方法包括：将第一高分辨率图像转换为第一低分辨率图像，第一高分辨率图像的第一分辨率高于第一低分辨率图像的第二分辨率；编码第一低分辨率图像以得到第一码流；获取第二高分辨率图像，第二高分辨率图像的第三分辨率高于第二分辨率，第二高分辨率图像中包括第一高分辨率图像的高频信息，且排除了第一高分辨率图像的低频信息；获取第一高分辨率图像和第二高分辨率图像之间的图像残差，图像残差用于反映该第一高分辨率图像的低频信息；编码图像残差以得到第二码流；发送第一码流和第二码流。本申请实施例可以大幅降低传输高分辨率视频的传输码率，从而可以满足实时传输高分辨率视频的应用场景。,https://wzdata-api.qizhidao.com/bigtools/big/rk/0a04ecf9388568906bf44a7b81a5cd02/FMIGCN113574886BCN2024113574886B.PDF,1
0398167a-0216-47a3-b13d-786ca831a6e6,顺丰科技有限公司,图形用户界面;分拣装置;分拣系统;传输装置;包装箱,848135902957088768,企业技术,"{""company_tech_words"": ""图形用户界面;分拣装置;分拣系统;传输装置;包装箱"",""matched_words"":""分拣装置"",""matched_words_size"":""1""}",WZIP_2348a3a834682220f0589770b4f06e1c,授权,2024-06-21 12:00:00,物流;国内公路运输;仓储;航空运输代理;物流快递,电子设备;存储介质;图形用户界面;分拣系统;传输装置,http://www.sf-tech.com.cn,分拣装置和分拣运输线,CN202322969591.0,\N,分拣设备,分拣运输线;分拣装置,\N,本实用新型涉及一种分拣装置和分拣运输线，包括机架和分拣平台，机架内形成至少顶部和底部为开口的容纳腔；分拣平台设于容纳腔内，且连接于机架上；分拣平台包括位于顶部和底部的分拣平面，分拣平面在容纳腔的顶和底部延伸出容纳腔，且凸出于或齐平于机架轮廓；其中，分拣平台能够主动运转，以实现快递分拣作业，其有益效果是实现了分拣装置的双面应用，极大提高了快递分拣效率，也提高了分拣装置的利用率；由于分拣平台能够双面应用，并且其设置于机架形成的容纳腔内，因此，分拣装置的竖向高度也比较低，分拣装置的结构更加紧凑，有利于降低分拣装置的空间占用。,https://wzdata-api.qizhidao.com/bigtools/big/rk/ce79335d0fd46a13ae4317503e543006/FMUMCN221183772UCN2024221183772U.PDF,2
